40 8
{ 0,1 : 0.1 ; 0,1 : 0.333333333333333 ; 0,1 : 0.333333333333333 ; 0,1 : 0.666666666666667 ; 0,1,2 : 0.733333333333333 ; 0,1,2 : 0.866666666666667 ; 0,1,2,3 : 1.6 ; 0,1,2,3,4,5 : 2.66666666666667 }
{ 0,1 : 0.133333333333333 ; 0,1 : 0.166666666666667 ; 0,1,2 : 0.333333333333333 ; 0,1,2,3 : 0.533333333333333 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3,4,5 : 1.6 ; 0,1,2,3,4,5 : 2.13333333333333 ; 0,1,2,3,4,5,6 : 2.66666666666667 }
{ 0,1 : 0.2 ; 0,1 : 0.333333333333333 ; 0,1,2,3 : 0.466666666666667 ; 0,1,2,3 : 0.6 ; 0,1,2,3,4,5 : 1.33333333333333 ; 0,1,2,3,4,5 : 1.86666666666667 ; 0,1,2,3,4,5,6 : 2.66666666666667 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.1 ; 0,1 : 0.133333333333333 ; 0,1 : 0.2 ; 0,1,2,3 : 0.866666666666667 ; 0,1,2,3,4,5 : 1.33333333333333 ; 0,1,2,3,4,5 : 1.6 ; 0,1,2,3,4,5,6 : 2.13333333333333 ; 0,1,2,3,4,5,6 : 2.66666666666667 }
{ 0,1 : 0.1 ; 0,1 : 0.166666666666667 ; 0,1 : 0.2 ; 0,1 : 0.2 ; 0,1 : 0.333333333333333 ; 0,1,2,3 : 0.533333333333333 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3,4,5 : 2.13333333333333 }
{ 0,1 : 0.1 ; 0,1 : 0.266666666666667 ; 0,1,2,3 : 0.4 ; 0,1,2,3 : 0.666666666666667 ; 0,1,2,3 : 0.8 ; 0,1,2,3 : 1.6 ; 0,1,2,3,4,5 : 2.13333333333333 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.1 ; 0,1 : 0.133333333333333 ; 0,1 : 0.166666666666667 ; 0,1,2 : 0.866666666666667 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3 : 2.4 ; 0,1,2,3 : 2.4 ; 0,1,2,3,4,5 : 2.66666666666667 }
{ 0,1 : 0.133333333333333 ; 0,1 : 0.2 ; 0,1 : 0.866666666666667 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3 : 1.6 ; 0,1,2,3 : 1.6 ; 0,1,2,3,4,5,6,7 : 3.2 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.1 ; 0,1 : 0.2 ; 0,1 : 0.366666666666667 ; 0,1 : 0.733333333333333 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3 : 2.4 ; 0,1,2,3,4,5 : 2.66666666666667 }
{ 0,1 : 0.133333333333333 ; 0,1 : 0.233333333333333 ; 0,1,2,3 : 0.533333333333333 ; 0,1,2,3 : 0.8 ; 0,1,2,3 : 1.06666666666667 ; 0,1,2,3,4,5 : 1.86666666666667 ; 0,1,2,3,4,5 : 2.4 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.1 ; 0,1 : 0.233333333333333 ; 0,1,2 : 0.266666666666667 ; 0,1,2,3 : 0.666666666666667 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3 : 1.6 ; 0,1,2,3,4,5 : 1.86666666666667 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.2 ; 0,1 : 0.266666666666667 ; 0,1,2,3 : 0.666666666666667 ; 0,1,2,3 : 0.8 ; 0,1,2,3 : 1.06666666666667 ; 0,1,2,3,4,5 : 2.13333333333333 ; 0,1,2,3,4,5 : 2.13333333333333 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.166666666666667 ; 0,1,2 : 0.266666666666667 ; 0,1,2,3 : 0.466666666666667 ; 0,1,2,3 : 0.466666666666667 ; 0,1,2,3 : 0.866666666666667 ; 0,1,2,3,4,5 : 1.73333333333333 ; 0,1,2,3,4,5,6 : 2.66666666666667 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.133333333333333 ; 0,1 : 0.3 ; 0,1,2,3 : 0.466666666666667 ; 0,1,2,3 : 0.866666666666667 ; 0,1,2,3,4 : 0.933333333333333 ; 0,1,2,3,4,5 : 1.73333333333333 ; 0,1,2,3,4,5,6 : 2.66666666666667 ; 0,1,2,3,4,5,6 : 2.66666666666667 }
{ 0,1 : 0.133333333333333 ; 0,1 : 0.233333333333333 ; 0,1 : 0.433333333333333 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3,4,5 : 1.6 ; 0,1,2,3,4,5,6 : 2.66666666666667 ; 0,1,2,3,4,5,6,7 : 3.2 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.1 ; 0,1 : 0.133333333333333 ; 0,1 : 0.166666666666667 ; 0,1 : 0.233333333333333 ; 0,1 : 0.266666666666667 ; 0,1,2,3 : 1.06666666666667 ; 0,1,2,3,4,5,6 : 2.13333333333333 ; 0,1,2,3,4,5,6 : 2.66666666666667 }
{ 0,1 : 0.333333333333333 ; 0,1 : 0.366666666666667 ; 0,1 : 0.466666666666667 ; 0,1,2,3 : 0.8 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3,4 : 1.33333333333333 ; 0,1,2,3,4 : 2.4 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.166666666666667 ; 0,1 : 0.2 ; 0,1,2,3 : 0.4 ; 0,1,2,3 : 0.666666666666667 ; 0,1,2,3,4 : 1.06666666666667 ; 0,1,2,3,4,5 : 1.6 ; 0,1,2,3,4,5,6,7 : 3.2 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.1 ; 0,1 : 0.233333333333333 ; 0,1 : 0.233333333333333 ; 0,1,2,3 : 0.333333333333333 ; 0,1,2,3 : 1.06666666666667 ; 0,1,2,3 : 1.86666666666667 ; 0,1,2,3,4,5,6 : 2.66666666666667 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.1 ; 0,1 : 0.133333333333333 ; 0,1 : 0.4 ; 0,1,2,3 : 0.533333333333333 ; 0,1,2,3 : 0.8 ; 0,1,2,3,4 : 1.33333333333333 ; 0,1,2,3,4 : 2.4 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.1 ; 0,1 : 0.2 ; 0,1,2 : 0.466666666666667 ; 0,1,2 : 0.6 ; 0,1,2,3 : 1.73333333333333 ; 0,1,2,3,4,5 : 2.13333333333333 ; 0,1,2,3,4,5 : 2.13333333333333 ; 0,1,2,3,4,5,6,7 : 3.2 }
{ 0,1 : 0.166666666666667 ; 0,1 : 0.2 ; 0,1 : 0.4 ; 0,1,2,3 : 0.466666666666667 ; 0,1,2,3 : 0.533333333333333 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3,4,5 : 1.33333333333333 ; 0,1,2,3,4,5 : 2.66666666666667 }
{ 0,1 : 0.1 ; 0,1 : 0.1 ; 0,1 : 0.666666666666667 ; 0,1 : 0.733333333333333 ; 0,1 : 0.733333333333333 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3,4,5,6 : 2.13333333333333 }
{ 0,1 : 0.133333333333333 ; 0,1 : 0.233333333333333 ; 0,1 : 0.4 ; 0,1,2,3 : 0.933333333333333 ; 0,1,2,3 : 1.73333333333333 ; 0,1,2,3,4,5 : 2.13333333333333 ; 0,1,2,3,4,5 : 2.66666666666667 ; 0,1,2,3,4,5 : 2.66666666666667 }
