60 4
{ 0 : 0.2 ; 0 : 0.633333333333333 ; 0,1,2 : 0.866666666666667 ; 0,1,2 : 1.6 }
{ 0 : 0.433333333333333 ; 0 : 0.7 ; 0,1,2 : 0.866666666666667 ; 0,1,2 : 2.4 }
{ 0 : 0.333333333333333 ; 0,1 : 1.36666666666667 ; 0,1,2 : 1.6 ; 0,1,2 : 1.86666666666667 }
{ 0 : 0.166666666666667 ; 0 : 0.2 ; 0 : 0.8 ; 0,1,2 : 2.26666666666667 }
{ 0 : 0.233333333333333 ; 0 : 0.733333333333333 ; 0,1,2 : 1.66666666666667 ; 0,1,2 : 2.4 }
{ 0 : 0.733333333333333 ; 0,1,2 : 1.4 ; 0,1,2 : 1.66666666666667 ; 0,1,2 : 2.66666666666667 }
{ 0 : 0.133333333333333 ; 0 : 0.466666666666667 ; 0 : 1.13333333333333 ; 0 : 1.73333333333333 }
{ 0,1 : 0.466666666666667 ; 0,1 : 0.733333333333333 ; 0,1,2 : 0.933333333333333 ; 0,1,2 : 2.4 }
{ 0 : 0.233333333333333 ; 0,1 : 0.533333333333333 ; 0,1,2 : 0.933333333333333 ; 0,1,2 : 2.66666666666667 }
{ 0 : 0.166666666666667 ; 0 : 0.266666666666667 ; 0,1 : 0.533333333333333 ; 0,1 : 1.33333333333333 }
{ 0 : 0.6 ; 0 : 1.2 ; 0,1,2 : 1.33333333333333 ; 0,1,2,3 : 3.2 }
{ 0 : 0.133333333333333 ; 0,1 : 0.433333333333333 ; 0,1,2 : 0.666666666666667 ; 0,1,2 : 2.66666666666667 }
{ 0 : 0.3 ; 0 : 0.466666666666667 ; 0,1,2 : 1.33333333333333 ; 0,1,2 : 1.86666666666667 }
{ 0 : 0.133333333333333 ; 0 : 0.7 ; 0,1,2 : 1.6 ; 0,1,2 : 2.4 }
{ 0 : 0.2 ; 0 : 0.266666666666667 ; 0,1,2 : 0.866666666666667 ; 0,1,2 : 1.06666666666667 }
{ 0 : 0.1 ; 0 : 0.433333333333333 ; 0,1,2 : 2.13333333333333 ; 0,1,2,3 : 3.2 }
{ 0 : 0.233333333333333 ; 0 : 1.4 ; 0,1,2 : 2.4 ; 0,1,2,3 : 3.2 }
{ 0 : 0.433333333333333 ; 0,1 : 0.8 ; 0,1,2 : 1.6 ; 0,1,2 : 1.86666666666667 }
{ 0 : 0.133333333333333 ; 0 : 0.4 ; 0,1 : 0.933333333333333 ; 0,1,2 : 2.66666666666667 }
{ 0 : 0.1 ; 0 : 0.333333333333333 ; 0,1,2 : 2.13333333333333 ; 0,1,2,3 : 3.2 }
{ 0 : 0.1 ; 0 : 0.266666666666667 ; 0,1 : 0.533333333333333 ; 0,1 : 0.8 }
{ 0 : 0.233333333333333 ; 0 : 0.3 ; 0 : 0.866666666666667 ; 0,1,2 : 1.6 }
{ 0 : 0.133333333333333 ; 0 : 0.533333333333333 ; 0,1,2 : 1.06666666666667 ; 0,1,2,3 : 3.2 }
{ 0 : 0.1 ; 0 : 0.333333333333333 ; 0,1,2 : 1.86666666666667 ; 0,1,2 : 2.66666666666667 }
{ 0 : 0.633333333333333 ; 0 : 0.733333333333333 ; 0,1 : 1.2 ; 0,1,2 : 2.13333333333333 }
